Player,Pos,year,sportsref_predicted_url
Darien Porter,CB,2025,https://www.sports-reference.com/cfb/players/darien-porter-1.html
Denzel Burke,CB,2025,https://www.sports-reference.com/cfb/players/denzel-burke-1.html
Dorian Strong,CB,2025,https://www.sports-reference.com/cfb/players/dorian-strong-1.html
Jacob Parrish,CB,2025,https://www.sports-reference.com/cfb/players/jacob-parrish-1.html
Jahdae Barron,CB,2025,https://www.sports-reference.com/cfb/players/jahdae-barron-1.html
Jason Marshall Jr.,CB,2025,https://www.sports-reference.com/cfb/players/jason-marshall-jr-1.html
Jaylen Reed,SAF,2025,https://www.sports-reference.com/cfb/players/jaylen-reed-1.html
Jaylin Smith,CB,2025,https://www.sports-reference.com/cfb/players/jaylin-smith-1.html
Jonas Sanker,SAF,2025,https://www.sports-reference.com/cfb/players/jonas-sanker-1.html
Jordan Hancock,CB,2025,https://www.sports-reference.com/cfb/players/jordan-hancock-1.html
Kevin Winston Jr.,SAF,2025,https://www.sports-reference.com/cfb/players/kevin-winston-jr-1.html
Lathan Ransom,SAF,2025,https://www.sports-reference.com/cfb/players/lathan-ransom-1.html
Malachi Moore,SAF,2025,https://www.sports-reference.com/cfb/players/malachi-moore-1.html
Malaki Starks,SAF,2025,https://www.sports-reference.com/cfb/players/malaki-starks-1.html
Maxwell Hairston,CB,2025,https://www.sports-reference.com/cfb/players/maxwell-hairston-1.html
Nick Emmanwori,SAF,2025,https://www.sports-reference.com/cfb/players/nick-emmanwori-1.html
Nohl Williams,CB,2025,https://www.sports-reference.com/cfb/players/nohl-williams-1.html
Quincy Riley,CB,2025,https://www.sports-reference.com/cfb/players/quincy-riley-1.html
R.J. Mickens,SAF,2025,https://www.sports-reference.com/cfb/players/rj-mickens-1.html
Rayuan Lane III,SAF,2025,https://www.sports-reference.com/cfb/players/rayuan-lane-iii-1.html
Shavon Revel Jr.,CB,2025,https://www.sports-reference.com/cfb/players/shavon-revel-jr-1.html
Trey Amos,CB,2025,https://www.sports-reference.com/cfb/players/trey-amos-1.html
Upton Stout,CB,2025,https://www.sports-reference.com/cfb/players/upton-stout-1.html
Will Johnson,CB,2025,https://www.sports-reference.com/cfb/players/will-johnson-1.html
Xavier Watts,SAF,2025,https://www.sports-reference.com/cfb/players/xavier-watts-1.html
